MARKER_ID,SHOP_NAME,SHOP_ADDRESS,LATITUDE,LONGITUDE,OPEN_DATE
VNVC,VNVC QUẾ VÕ,"PHỐ MAO DỘC, P.PHƯƠNG LIỄU, BẮC NINH (NẰM TRÊN ĐƯỜNG QL18, ĐỐI DIỆN KHU DÂN CƯ TÂY HỒ)",21.1548895,106.1403876,2023-06-12
VNVC,VNVC THẠNH LỘC,"97 TL19, P.AN PHÚ ĐÔNG, TP.HCM",10.8662817,106.6810364,2023-06-06
VNVC,VNVC LINH ĐÀM,"Ô 08 DÃY B – LÔ TT3, KHU ĐÔ THỊ MỚI TÂY NAM HỒ LINH ĐÀM, P.HOÀNG LIỆT, HÀ NỘI (NẰM TRÊN ĐƯỜNG LINH ĐƯỜNG, CẠNH TRUNG TÂM VĂN HÓA THỂ THAO QUẬN HOÀNG MAI, RẠP CHIẾU PHIM CGV, ĐỐI DIỆN TTVHTT QUẬN 50M)",20.9625742,105.8259151,2023-05-24
VNVC,VNVC KON TUM,"786 PHAN ĐÌNH PHÙNG, P.KON TUM, QUẢNG NGÃI",14.3581245,108.0000582,2023-05-20
VNVC,VNVC PLEIKU,"264 PHAN ĐÌNH PHÙNG, P.DIÊN HỒNG, GIA LAI",13.9809296,107.9926526,2023-04-28
VNVC,VNVC VĨNH LỘC,"331 VÕ VĂN VÂN, X.TÂN VĨNH LỘC, TP.HCM",10.7986629,106.577637,2023-04-21
VNVC,VNVC GÒ CÔNG,"159F QL.50, KP.LONG HƯNG, P.BÌNH XUÂN, ĐỒNG THÁP (GẦN TRỤ SỞ CÔNG AN THỊ XÃ GÒ CÔNG)",10.3595784,106.6562945,2023-04-15
VNVC,VNVC MINH KHAI,"Ô SỐ 1+2, TẦNG 2 TÒA NHÀ HÀN VIỆT, ĐƯỜNG MINH KHAI, P.BẠCH MAI, HÀ NỘI (NGÃ TƯ KIM NGƯU VÀ MINH KHAI, GẦN TÒA NHÀ HINODE CITY (CÁCH 30M))",20.9969827,105.8617452,2023-04-01
VNVC,VNVC NHA TRANG,"L10-01+L10-02, TẦNG 10, TTTM GOLD COAST, 1 TRẦN HƯNG ĐẠO, P.NHA TRANG, KHÁNH HÒA",12.2478344,109.1949664,2023-03-29
VNVC,VNVC HỘI AN,"537 HAI BÀ TRƯNG, P.HỘI AN, TP.ĐÀ NẴNG",15.8828424,108.3249472,2023-03-25
VNVC,VNVC CHỢ GẠO,"SỐ 530 Ô 1, KHU 2, X.CHỢ GẠO, ĐỒNG THÁP (GẦN CẦU CHỢ GẠO 2)",10.3585749,106.4646721,2023-02-25
VNVC,VNVC PHÚ MỸ,"TẦNG TRỆT, TTTM SÀI GÒN CO.OP, QL.51, TỔ 12, KHU PHỐ TÂN PHÚ, P.PHÚ MỸ, TP.HCM",10.5984049,107.0551905,2023-02-14
VNVC,VNVC TRÀ VINH,"TẦNG 01 TTTM GO! TRÀ VINH, VÕ NGUYÊN GIÁP, P.NGUYỆT HÓA, VĨNH LONG",9.9230351,106.3276748,2023-02-10
VNVC,VNVC THƯỜNG TÍN,"SỐ 112 TRẦN LƯ, X.THƯỜNG TÍN, HÀ NỘI (NẰM TRÊN QL1A. CẠNH NGÂN HÀNG AGRIBANK VÀ CÂY XĂNG DẦU SỐ 5, CÁCH NGÃ BA GA THƯỜNG TÍN 200M)",20.8736277,105.8636528,2023-01-17
VNVC,VNVC BÀU BÀNG,"3-4 LÔ A8, ĐƯỜNG NC, KHU PHỐ ĐỒNG SỔ, X.BÀU BÀNG, TP.HCM",11.242873,106.6366399,2023-01-12
VNVC,VNVC TÂN TÚC BÌNH CHÁNH,"SỐ 312 BÙI THANH KHIẾT, ẤP 59, X.TÂN NHỰT, TP.HCM",10.6891621,106.5750416,2023-01-11
